path,actor,emotion,intensity,vocal,gender,duration,sr,rms,pitch_mean,centroid_mean,silence_ratio,pca_x,pca_y,tsne_x,tsne_y,cluster
data/RAVDESS/Actor_01/03-01-04-02-01-01-01.wav,01,sad,strong,speech,male,3.8037916666666667,48000,0.0047328374,1857.3677,6343.886846569586,0.5232826894217393,8.8063965,13.380661,16.590351,20.54057,1
data/RAVDESS/Actor_01/03-01-07-02-02-01-01.wav,01,disgust,strong,speech,male,4.037375,48000,0.019093841,1664.4971,5887.773418558477,0.4029123708680351,12.222565,-5.015274,13.055972,-28.701252,3
data/RAVDESS/Actor_01/03-01-07-02-01-02-01.wav,01,disgust,strong,speech,male,4.104104166666667,48000,0.02074249,1937.6276,5801.92088334677,0.5009873246800713,0.08105469,-14.418488,-11.752345,-21.78661,7
data/RAVDESS/Actor_01/03-01-05-02-01-01-01.wav,01,angry,strong,speech,male,4.104104166666667,48000,0.08897253,1886.9716,5623.7100622096,0.5087843977319452,7.750183,-28.54715,5.067588,-34.98115,3
data/RAVDESS/Actor_01/03-01-02-01-01-02-01.wav,01,calm,normal,speech,male,3.6035833333333334,48000,0.003084727,1835.4337,6874.560406643111,0.5323173692852022,-1.2648621,18.611313,10.032865,30.695274,1
data/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav,01,happy,normal,speech,male,3.470125,48000,0.008320282,1853.5822,6308.368223553758,0.5081829424972684,-10.134979,17.559067,-3.3109064,37.014122,0
data/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav,01,happy,normal,speech,male,3.703708333333333,48000,0.0059916475,1771.354,6596.172435081965,0.533440583199271,14.686798,7.0295258,25.804209,10.171024,5
data/RAVDESS/Actor_01/03-01-07-02-02-02-01.wav,01,disgust,strong,speech,male,4.371020833333334,48000,0.01944112,1763.4749,6329.374617864478,0.4728920113055207,-16.128967,2.7899017,-19.516434,2.6492271,2
data/RAVDESS/Actor_01/03-01-07-01-02-02-01.wav,01,disgust,normal,speech,male,3.8371666666666666,48000,0.0048915707,1882.1554,7014.318967739666,0.513529948312557,10.73642,3.2905426,24.340944,9.153436,1
data/RAVDESS/Actor_01/03-01-04-02-02-02-01.wav,01,sad,strong,speech,male,3.7370625,48000,0.009765804,1900.7799,6896.716930820243,0.5376047363403743,5.4821777,4.182419,12.936041,16.82143,1
data/RAVDESS/Actor_01/03-01-02-02-02-02-01.wav,01,calm,strong,speech,male,4.004,48000,0.0034109007,1844.432,6481.998136586812,0.42191142191142195,32.56369,-1.2863922,36.31642,-3.3557417,5
data/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav,01,happy,normal,speech,male,3.4701458333333335,48000,0.0071729003,1784.4196,6697.877340105959,0.557367305648778,0.85617065,11.497513,13.072925,19.23501,1
data/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,01,neutral,normal,speech,male,3.2699166666666666,48000,0.005083605,1828.8231,7239.2656482489965,0.6085527154106883,-13.088348,18.744827,-4.8784285,35.32076,0
data/RAVDESS/Actor_01/03-01-02-01-02-01-01.wav,01,calm,normal,speech,male,3.5035,48000,0.0042945053,1804.145,6853.974883221673,0.5433138290281148,15.524445,10.32933,26.592524,11.383185,1
data/RAVDESS/Actor_01/03-01-04-01-02-02-01.wav,01,sad,normal,speech,male,3.370041666666667,48000,0.0039458997,1873.7726,7106.008408922401,0.5790358675090566,-8.497192,16.775131,-3.9584465,34.124077,0
data/RAVDESS/Actor_01/03-01-07-01-02-01-01.wav,01,disgust,normal,speech,male,3.9038958333333333,48000,0.004453282,1774.3934,6179.649958222614,0.4945220319445852,35.53955,-0.5049286,36.28802,-3.5950646,5
data/RAVDESS/Actor_01/03-01-02-02-01-02-01.wav,01,calm,strong,speech,male,4.004,48000,0.0026412157,1851.595,6517.976565172378,0.46719946719946714,14.914337,8.888535,26.626612,11.080792,1
data/RAVDESS/Actor_01/03-01-05-02-02-02-01.wav,01,angry,strong,speech,male,4.437770833333333,48000,0.14970125,1905.1594,5177.487547068495,0.47120598273344816,10.141846,-35.07553,5.3829184,-35.154667,3
data/RAVDESS/Actor_01/03-01-06-02-01-02-01.wav,01,fearful,strong,speech,male,4.2375625,48000,0.040175423,1791.8357,4209.249974629176,0.4940487603427678,-12.184967,-6.271103,-20.33966,-7.050449,7
data/RAVDESS/Actor_01/03-01-05-01-01-01-01.wav,01,angry,normal,speech,male,3.8705416666666665,48000,0.015064571,1912.4441,6134.619096573832,0.52048055289419,-8.699188,4.0717926,-7.483937,19.75256,0
data/RAVDESS/Actor_01/03-01-02-02-02-01-01.wav,01,calm,strong,speech,male,4.204208333333334,48000,0.0030998178,1798.5125,6340.198382246475,0.4139205756137204,45.344055,-3.255188,42.35172,-7.6397877,4
data/RAVDESS/Actor_01/03-01-05-01-02-02-01.wav,01,angry,normal,speech,male,3.7370625,48000,0.018653242,1887.0612,5977.956258599572,0.543313319842345,-9.933594,6.2841034,-8.091541,19.933544,0
